video_id,comment,clean_comment,label
DfYhY-bKsZI,S6 angst mndukung,s6 angst mndukung,positive
DfYhY-bKsZI,Nah begitu tvone hapus saja tegss dong ya salam welas asih 🙏🙏👍👍👍🤝,nah begitu tvone hapus saja tegss dong ya salam welas asih,positive
DfYhY-bKsZI,plis menteri aku mau nya agar bukan medsos di batasi tapi org yg bikin porno grafi,plis menteri aku mau nya agar bukan medsos di batasi tapi org yg bikin porno grafi,negative
DfYhY-bKsZI,demo demo demo,demo demo demo,negative
DfYhY-bKsZI,😂😂 ikutin Negara besar,ikutin negara besar,neutral
DfYhY-bKsZI,saya minta untuk sosmed yg di tahan di batalkan cari org jahat nya itu baru betul,saya minta untuk sosmed yg di tahan di batalkan cari org jahat nya itu baru betul,negative
DfYhY-bKsZI,Kenapa sih GK boleh kan emak bapak nya yang beliin😢,kenapa sih gk boleh kan emak bapak nya yang beliin,negative
DfYhY-bKsZI,Yah jadi nonton cocomelon lagi deh 😭,yah jadi nonton cocomelon lagi deh,negative
DfYhY-bKsZI,Apalah kenapaaaaa woiii,apalah kenapaaaaa woiii,negative
DfYhY-bKsZI,Mohon maaf pak saya mau izin melanjutkan jika YouTube di blokir atau di batasin anak anak dari umur 5 sampai 15 tahun belajar perkalian gimana? Pantes negara ga pernah maju sedangkan isi ny tikus semua MASA JUDOL GA DI BAN? KALIAN DUKUNG JUDI?JANGAN sampe anak anak ikut JUDOL kalo kami demo jangan salahkan kami! Kalian yang mulai lalu anak anak 13 sampai 15 tahun chat orang tua saat pulang sekolah gimana masa hrs pake guru? Ga mungkin jika aplikasi yang di larang itu di banned kami akan kasih bintang satu semua aplikasi terutama aplikasi komdigi di gital! Siapa yang setuju!!,mohon maaf pak saya mau izin melanjutkan jika youtube di blokir atau di batasin anak anak dari umur 5 sampai 15 tahun belajar perkalian gimana pantes negara ga pernah maju sedangkan isi ny tikus semua masa judol ga di ban kalian dukung judijangan sampe anak anak ikut judol kalo kami demo jangan salahkan kami kalian yang mulai lalu anak anak 13 sampai 15 tahun chat orang tua saat pulang sekolah gimana masa hrs pake guru ga mungkin jika aplikasi yang di larang itu di banned kami akan kasih bintang satu semua aplikasi terutama aplikasi komdigi di gital siapa yang setuju,negative
DfYhY-bKsZI,Mantap pembasmian bocah iq78 yg semakin meresahkan👍,mantap pembasmian bocah iq78 yg semakin meresahkan,positive
DfYhY-bKsZI,Woi gak usah caper lu pemerintah 😡😡😡,woi gak usah caper lu pemerintah,negative
DfYhY-bKsZI,dasar mahluk sok bikin aturan,dasar mahluk sok bikin aturan,negative
