video_id,comment,clean_comment
DfYhY-bKsZI,ho,ho
DfYhY-bKsZI,Hoax kah? Akun adekku ga di blokir,hoax kah akun adekku ga di blokir
DfYhY-bKsZI,Hoax,hoax
DfYhY-bKsZI,Serah dah bu,serah dah bu
DfYhY-bKsZI,S6 angst mndukung,s6 angst mndukung
DfYhY-bKsZI,Kami bohong YouTube tidak bisa tutup 🙏,kami bohong youtube tidak bisa tutup
DfYhY-bKsZI,Anak 16 lya,anak 16 lya
DfYhY-bKsZI,Aku gk kebaned,aku gk kebaned
DfYhY-bKsZI,bagus gak jadi good job,bagus gak jadi good job
DfYhY-bKsZI,Gak terjadi apa²😂,gak terjadi apa
DfYhY-bKsZI,Nah begitu tvone hapus saja tegss dong ya salam welas asih 🙏🙏👍👍👍🤝,nah begitu tvone hapus saja tegss dong ya salam welas asih
DfYhY-bKsZI,Kok gk di ban yak ini 28 Maret tapi aku masih bisa nonton YouTube,kok gk di ban yak ini 28 maret tapi aku masih bisa nonton youtube
DfYhY-bKsZI,plis menteri aku mau nya agar bukan medsos di batasi tapi org yg bikin porno grafi,plis menteri aku mau nya agar bukan medsos di batasi tapi org yg bikin porno grafi
DfYhY-bKsZI,demo demo demo,demo demo demo
DfYhY-bKsZI,lebih baik urus korup,lebih baik urus korup
DfYhY-bKsZI,😂😂 ikutin Negara besar,ikutin negara besar
DfYhY-bKsZI,Serius??,serius
DfYhY-bKsZI,saya minta untuk sosmed yg di tahan di batalkan cari org jahat nya itu baru betul,saya minta untuk sosmed yg di tahan di batalkan cari org jahat nya itu baru betul
DfYhY-bKsZI,Kenapa sih GK boleh kan emak bapak nya yang beliin😢,kenapa sih gk boleh kan emak bapak nya yang beliin
DfYhY-bKsZI,Yah jadi nonton cocomelon lagi deh 😭,yah jadi nonton cocomelon lagi deh
DfYhY-bKsZI,Apalah kenapaaaaa woiii,apalah kenapaaaaa woiii
DfYhY-bKsZI,Mohon maaf pak saya mau izin melanjutkan jika YouTube di blokir atau di batasin anak anak dari umur 5 sampai 15 tahun belajar perkalian gimana? Pantes negara ga pernah maju sedangkan isi ny tikus semua MASA JUDOL GA DI BAN? KALIAN DUKUNG JUDI?JANGAN sampe anak anak ikut JUDOL kalo kami demo jangan salahkan kami! Kalian yang mulai lalu anak anak 13 sampai 15 tahun chat orang tua saat pulang sekolah gimana masa hrs pake guru? Ga mungkin jika aplikasi yang di larang itu di banned kami akan kasih bintang satu semua aplikasi terutama aplikasi komdigi di gital! Siapa yang setuju!!,mohon maaf pak saya mau izin melanjutkan jika youtube di blokir atau di batasin anak anak dari umur 5 sampai 15 tahun belajar perkalian gimana pantes negara ga pernah maju sedangkan isi ny tikus semua masa judol ga di ban kalian dukung judi jangan sampe anak anak ikut judol kalo kami demo jangan salahkan kami kalian yang mulai lalu anak anak 13 sampai 15 tahun chat orang tua saat pulang sekolah gimana masa hrs pake guru ga mungkin jika aplikasi yang di larang itu di banned kami akan kasih bintang satu semua aplikasi terutama aplikasi komdigi di gital siapa yang setuju
DfYhY-bKsZI,Kenapa😭😭😭😭😭,kenapa
DfYhY-bKsZI,Sampe batu kajang kah,sampe batu kajang kah
DfYhY-bKsZI,Mantap pembasmian bocah iq78 yg semakin meresahkan👍,mantap pembasmian bocah iq78 yg semakin meresahkan
DfYhY-bKsZI,Woi gak usah caper lu pemerintah 😡😡😡,woi gak usah caper lu pemerintah
DfYhY-bKsZI,Padahal roblok buat kita kreatif,padahal roblok buat kita kreatif
DfYhY-bKsZI,Kenapa harus roblok kan itu ff ml itu kan kekerasan juga😢,kenapa harus roblok kan itu ff ml itu kan kekerasan juga
DfYhY-bKsZI,dasar mahluk sok bikin aturan,dasar mahluk sok bikin aturan
DfYhY-bKsZI,Setujuh karena anak anak sudah terobsesi dengan tontonan 🔞,setujuh karena anak anak sudah terobsesi dengan tontonan
DfYhY-bKsZI,Hoax hoaxx huuuuuuu😡😡😡😡,hoax hoaxx huuuuuuu
DfYhY-bKsZI,Caca,caca
DfYhY-bKsZI,anak saya umur 15,anak saya umur 15
DfYhY-bKsZI,tetapi bagaimana anak saya belajar,tetapi bagaimana anak saya belajar
DfYhY-bKsZI,Ah ela gw baru umur 8 thun ini co co😢,ah ela gw baru umur 8 thun ini co co
DfYhY-bKsZI,Saya tidak terima!!!!!!! Facebook YouTube nggak boleh diblokir harus dijalanin lagi kalau belajar membuat kepala pusing atau stress harus dihentikan pemerintah 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,saya tidak terima facebook youtube nggak boleh diblokir harus dijalanin lagi kalau belajar membuat kepala pusing atau stress harus dihentikan pemerintah
DfYhY-bKsZI,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈 huuuuuuuuuuuuuuuu7uuuuu,huuuuuuuuuuuuuuuu7uuuuu
DfYhY-bKsZI,ANJ😞👈,anj
DfYhY-bKsZI,Serah lah bodoamat akuh,serah lah bodoamat akuh
DfYhY-bKsZI,Dadi mengkel isun,dadi mengkel isun
DfYhY-bKsZI,"Klo dihapus demo gak sihhh, yg demo kumpul<br>👇",klo dihapus demo gak sihhh yg demo kumpul
DfYhY-bKsZI,Bukan nya hapus korup atau judi malah hapus sosmed di bawah 16 bodo,bukan nya hapus korup atau judi malah hapus sosmed di bawah 16 bodo
DfYhY-bKsZI,Mantap,mantap
DfYhY-bKsZI,Pala kau lah terbaik,pala kau lah terbaik
DfYhY-bKsZI,Dasar  pemrintah  gatau diri 😡😡😡😡🤬😡😡🤬😡,dasar pemrintah gatau diri
DfYhY-bKsZI,Ayo hujat habis habisan😡😡😡🤬😡🤬🤬😡😡😡,ayo hujat habis habisan
DfYhY-bKsZI,"Terus gue ulangan pake apa?,gue ulangan pake hp anjg,itu juga disuruh cari jawaban dimedsos!!",terus gue ulangan pake apa gue ulangan pake hp anjg itu juga disuruh cari jawaban dimedsos
DfYhY-bKsZI,Ngawit lu,ngawit lu
DfYhY-bKsZI,iya lah anak anak di urus URUS TUH KORUPTOR YANG ADA DI NEGRI BUKAN NYA BIKIN PERATURAN LAGI LU KALO JADI PEJABAT MENDING BELAJAR LAGI JUDI AJA GAK LU URUS GIMANA NANTI GENERASI MUDA YANG LAIN DAH TAU MAU WW3 JIR,iya lah anak anak di urus urus tuh koruptor yang ada di negri bukan nya bikin peraturan lagi lu kalo jadi pejabat mending belajar lagi judi aja gak lu urus gimana nanti generasi muda yang lain dah tau mau ww3 jir
DfYhY-bKsZI,Sampe tanggal berapa nih😭😭😭😭😭,sampe tanggal berapa nih
DfYhY-bKsZI,Klo anak di bawah 16 tahun gak bisa nonton   youtube  terus aku belajar bahasa Russia nya gemana,klo anak di bawah 16 tahun gak bisa nonton youtube terus aku belajar bahasa russia nya gemana
DfYhY-bKsZI,Dasar gatau diri😡😡😡😡🤬🤬😡😡😡🤬😡🤬🤬😡😡🤬,dasar gatau diri
DfYhY-bKsZI,Iya peraturan nya sangat jelek😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬😡🤬🤬😡🤬😡🤬😡🤬🤬🤬🤬😡😡😡😡😡😡🤬🤬😡🤬🤬😡🤬🤬🤬😡🤬🤬😡😡😡😡🤬,iya peraturan nya sangat jelek
DfYhY-bKsZI,Peraturan nya jelek 😡😡😡🤬😡🤬🤬😡🤬😡🤬🤬😡🤬😡,peraturan nya jelek
DfYhY-bKsZI,Dasar lu ya😡,dasar lu ya
DfYhY-bKsZI,Hah😡,hah
DfYhY-bKsZI,Lu emang mau demo lagi😡,lu emang mau demo lagi
DfYhY-bKsZI,Seharusnya kalau mau anak anak aman Ben atau blokir akun yang berbahaya,seharusnya kalau mau anak anak aman ben atau blokir akun yang berbahaya
DfYhY-bKsZI,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭plissssssssssssssss jangan di hapus,plissssssssssssssss jangan di hapus
DfYhY-bKsZI,Harus nya di ajarin yg ilegal atau yg bahaya dan yg aman dan GK bahaya bukan seenaknya doang di blockir lu tuh mau GK di berhentiin aja jadi pemerintah seenak nya kita rakyat biasa GK mau kan?,harus nya di ajarin yg ilegal atau yg bahaya dan yg aman dan gk bahaya bukan seenaknya doang di blockir lu tuh mau gk di berhentiin aja jadi pemerintah seenak nya kita rakyat biasa gk mau kan
DfYhY-bKsZI,"Kenapa gak memblokir judi, korupsi malah melarang anak di bawah 16 tahun",kenapa gak memblokir judi korupsi malah melarang anak di bawah 16 tahun
DfYhY-bKsZI,Halah gua aja ya nonton biasa kayak penting info ada apa (CONTOH) katanya ada gerhana bulan nah kan kita gak tahu jadi gerhana yang kita tunggu tunggu malah Terlewat <br>Dan kata kata hari ini : kenapa Indonesia tidak maju karena fideo yang penting untuk anak anak seperti gerhana bulan atau matematika tidak bisah tau orang yang mau liat kereta taupun kendaraan lain gitu <br>. Kenapa gak begini urusin judi  dulu nah ke. 2. Video yang tidak pantas untuk di tonton anak anak harus nya di hapus atau di praifet gitu loh 🤬🤬🤬🤬🤬🤬🙏🤬🤬🤬😑😅,halah gua aja ya nonton biasa kayak penting info ada apa contoh katanya ada gerhana bulan nah kan kita gak tahu jadi gerhana yang kita tunggu tunggu malah terlewat dan kata kata hari ini kenapa indonesia tidak maju karena fideo yang penting untuk anak anak seperti gerhana bulan atau matematika tidak bisah tau orang yang mau liat kereta taupun kendaraan lain gitu kenapa gak begini urusin judi dulu nah ke 2 video yang tidak pantas untuk di tonton anak anak harus nya di hapus atau di praifet gitu loh
DfYhY-bKsZI,Syiballl You tube Facebook 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,syiballl you tube facebook
DfYhY-bKsZI,"Gak gitu pemerintah,😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🥀🥀🥀🥀🥀🥀🥀🥀🥀",gak gitu pemerintah
DfYhY-bKsZI,Hoooo pemerintah jahat hoooo!!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡👎🥀🥀👎🥀🥀,hoooo pemerintah jahat hoooo
DfYhY-bKsZI,Pemerintah ban 😡😡😡😡😡👎,pemerintah ban
DfYhY-bKsZI,Hoooooooooo!!!!!!!! 😡😡😡😡😡😡😡😡😡😡👎👎🥀🥀🥀🥀🥀🥀🥀🥀🥀🥀,hoooooooooo
DfYhY-bKsZI,Pemerintah jahat hoooooooooo👎👎👎👎👎👎👎👎👎👎🥀🥀🥀🥀🥀🥀🥀🥀😡😡😡😡😡😡😡,pemerintah jahat hoooooooooo
DfYhY-bKsZI,Kan.,kan
DfYhY-bKsZI,Lu kayak kabing jangkrikkk,lu kayak kabing jangkrikkk
DfYhY-bKsZI,Jual ibunya😂😂😂😂😂😂,jual ibunya
DfYhY-bKsZI,Dasar orang dewasa,dasar orang dewasa
DfYhY-bKsZI,Tapi jangan juga di nonaktifkan,tapi jangan juga di nonaktifkan
DfYhY-bKsZI,"<a href=""https://www.youtube.com/watch?v=DfYhY-bKsZI&amp;t=127"">2:07</a>  IBUNYA DIBAYAR!!!",ibunya dibayar
DfYhY-bKsZI,Aku diatas umur 7/8 bang,aku diatas umur 7 8 bang
DfYhY-bKsZI,Kami tidak setujuh tidak setuju,kami tidak setujuh tidak setuju
DfYhY-bKsZI,SAYA TIDAK TERIMA!!!!!!!!!!!!!,saya tidak terima
DfYhY-bKsZI,Lebih baik anak anak tidak di boleh membuat konten yg tidak pantas untuk anak di bawah 16 tahun gimana ya hanya menyarankan,lebih baik anak anak tidak di boleh membuat konten yg tidak pantas untuk anak di bawah 16 tahun gimana ya hanya menyarankan
DfYhY-bKsZI,Kenapa sekalinya korupsi narkoba  gak cepat bergerak. tapi kalau tentang pembatasan digital pemerintah sok asik,kenapa sekalinya korupsi narkoba gak cepat bergerak tapi kalau tentang pembatasan digital pemerintah sok asik
DfYhY-bKsZI,Korupsi no yg di kurangi😂😂,korupsi no yg di kurangi
DfYhY-bKsZI,Hampir di Umurku 6,hampir di umurku 6
DfYhY-bKsZI,Saya mau nya Roblox saja di off yt di online siapa saja,saya mau nya roblox saja di off yt di online siapa saja
DfYhY-bKsZI,Gw gk setuju kenapa yutube sama roblox sama tiktok dan sosmed gw gk setuju anj😡wtf gw gk setujuuuuuuuuuuu kenapa harus seperti ini kenapa harus di blokir kita semua punya hal masing masing itu tergantung dewasa nya kenapa ha aku bilang kenapa kamu buka orang penting kesian orang yang di bawah umur16 tahun kalo mau kasih praturan itu mikir napa woi kenapa harus yutube sama tik tok sama roblox woi awas kalo gk baca lu lo bukan orang penting,gw gk setuju kenapa yutube sama roblox sama tiktok dan sosmed gw gk setuju anj wtf gw gk setujuuuuuuuuuuu kenapa harus seperti ini kenapa harus di blokir kita semua punya hal masing masing itu tergantung dewasa nya kenapa ha aku bilang kenapa kamu buka orang penting kesian orang yang di bawah umur16 tahun kalo mau kasih praturan itu mikir napa woi kenapa harus yutube sama tik tok sama roblox woi awas kalo gk baca lu lo bukan orang penting
DfYhY-bKsZI,Trs teman gw yang baru umur 14 THN gimana dia kan ulangan pake hp aneh,trs teman gw yang baru umur 14 thn gimana dia kan ulangan pake hp aneh
