video_id,comment,clean_comment,label
RsKRrIp--Mg,Gak jadi woi,gak jadi woi,negative
LFfRhLKHdJA,Dibarengi kontrol dan sistem untuk memantau dan memastikan bahwa aturan itu berjalan atau tidak? <br>Kalau tidak ya udah,dibarengi kontrol dan sistem untuk memantau dan memastikan bahwa aturan itu berjalan atau tidak kalau tidak ya udah,positive
0Sa4S97M-uM,"Assalamualaikum,ya,, bagus itu, trus tindak lanjutnya pemberantasan judi online gmn ni,,setiap chenel YouTube live pasti di penuhi iklan judi online,ayo Bu Mentri Brantas lagi.",assalamualaikumya bagus itu trus tindak lanjutnya pemberantasan judi online gmn nisetiap chenel youtube live pasti di penuhi iklan judi onlineayo bu mentri brantas lagi,positive
8i7X3KrGeF0,Hoax atau beneran?,hoax atau beneran,neutral
TdyE62mSXx0,Untuk yutub gak to**l buat nge ban kita,untuk yutub gak tol buat nge ban kita,negative
viGBwFO3nDA,Akhir nya bocil bocil kematian akun nya di nonaktif kan😇😇😇 untung umur saya 17 thn,akhir nya bocil bocil kematian akun nya di nonaktif kan untung umur saya 17 thn,positive
p8p-sAq_hhI,"<a href=""https://www.youtube.com/watch?v=p8p-sAq_hhI&amp;t=105"">1:45</a> <b>&quot;langkah terbaik&quot;</b> 😹😹",langkah terbaik,positive
iLERE4VmtZc,Bang tadi di Roblox topic Indonesia ada pemerintah marah 😂,bang tadi di roblox topic indonesia ada pemerintah marah,neutral
p8p-sAq_hhI,"🤔 coba presiden nonton artis, siapa tunduk? 🤞😅",coba presiden nonton artis siapa tunduk,neutral
QDj0g7Xw2rg,Urusin dulu judi😭😭😭👊👊👊👊,urusin dulu judi,neutral
OBb8iLYgMu4,Pura-pura gak dengar apa apa gak denger  kita juga kan butuh media sosial masa gitu sih yang tdk setuju  media sosial di hapus ngumpul😡😡😡😡😡😡👊👊👊👊👊👊👊🙄🙄🙄🙄🙄😒😒😒😏😏<br>👇<br>👇<br>👇<br>👇<br>👇,purapura gak dengar apa apa gak denger kita juga kan butuh media sosial masa gitu sih yang tdk setuju media sosial di hapus ngumpul
OBb8iLYgMu4,Udah tanggal 31 belum ke bane,udah tanggal 31 belum ke bane,negative
RsKRrIp--Mg,NGGAK SETUJU,nggak setuju,negative
vk2Ynj24qNA,Umur 10-16 tahun perlu hak dan jika mereka ketinggalan akan di katain lahir zaman batu kamu dan saya merasa ketinggalan zaman biasa nya akan di ejek dan tidak?,umur 1016 tahun perlu hak dan jika mereka ketinggalan akan di katain lahir zaman batu kamu dan saya merasa ketinggalan zaman biasa nya akan di ejek dan tidak,negative
QDj0g7Xw2rg,Lah jud0l !,lah jud0l,neutral
0Sa4S97M-uM,Lain tibaheula ath bro,lain tibaheula ath bro,positive
tuaZNgn2rcc,Alhamdulillah saya setuju 1000% Bu,alhamdulillah saya setuju 1000 bu,positive
OBb8iLYgMu4,Siapa nonton tanggal 30 maret kumpul ya,siapa nonton tanggal 30 maret kumpul ya,neutral
LSrWXE05LNY,Judol dulu diurusi 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,judol dulu diurusi,neutral
JrCe8CVR1KY,Yeee ff masih bisaaaa,yeee ff masih bisaaaa,positive
19eKDDkJt6w,GAK SETUJU MASA GAME JUDI DAN KORUP TIDAK DI NONAKTIFKAN ITU NAMA NYA BUKAN BUAT PERLINDUNGAN ANAK TAPI PENGSTREESAN ANAK NANTI KALO ANAK ANAK GAK MAIN NANTI KALO MALAH MAIN GAME JUDI NAH KAN GAK LUCU MENDING LU HAPUS GAME JUDI JUDI LEBIH BERBAHAYA,gak setuju masa game judi dan korup tidak di nonaktifkan itu nama nya bukan buat perlindungan anak tapi pengstreesan anak nanti kalo anak anak gak main nanti kalo malah main game judi nah kan gak lucu mending lu hapus game judi judi lebih berbahaya,negative
OTk4HFU-xn8,ITU TERGANTUNG ORTUNYA. PERCUMA DILARANG KALO SI ORTU BIKININ AKUN. INTINYA JGN MELARANG ANAK BERMAIN GAME. BIARKAN MEREKA &amp; JGN GANGGU URUSAN GAME,itu tergantung ortunya percuma dilarang kalo si ortu bikinin akun intinya jgn melarang anak bermain game biarkan mereka jgn ganggu urusan game,negative
