video_id,comment,clean_comment,score,label,label_id
DfYhY-bKsZI,Hoax kah? Akun adekku ga di blokir,hoax kah akun adekku ga di blokir,-8,negative,0
DfYhY-bKsZI,Hoax,hoax,-5,negative,0
DfYhY-bKsZI,Serah dah bu,serah dah bu,-6,negative,0
DfYhY-bKsZI,Kami bohong YouTube tidak bisa tutup 🙏,kami bohong youtube tidak bisa tutup,-12,negative,0
DfYhY-bKsZI,Anak 16 lya,anak 16 lya,-3,negative,0
DfYhY-bKsZI,Aku gk kebaned,aku gk kebaned,-1,negative,0
DfYhY-bKsZI,bagus gak jadi good job,bagus gak jadi good job,3,positive,1
DfYhY-bKsZI,Gak terjadi apa²😂,gak terjadi apa,-6,negative,0
DfYhY-bKsZI,Nah begitu tvone hapus saja tegss dong ya salam welas asih 🙏🙏👍👍👍🤝,nah begitu tvone hapus saja tegss dong ya salam welas asih,-6,negative,0
DfYhY-bKsZI,Kok gk di ban yak ini 28 Maret tapi aku masih bisa nonton YouTube,kok gk di ban yak ini 28 maret tapi aku masih bisa nonton youtube,-1,negative,0
DfYhY-bKsZI,plis menteri aku mau nya agar bukan medsos di batasi tapi org yg bikin porno grafi,plis menteri aku mau nya agar bukan medsos di batasi tapi org yg bikin porno grafi,-13,negative,0
DfYhY-bKsZI,demo demo demo,demo demo demo,-9,negative,0
DfYhY-bKsZI,lebih baik urus korup,lebih baik urus korup,-5,negative,0
DfYhY-bKsZI,😂😂 ikutin Negara besar,ikutin negara besar,-2,negative,0
DfYhY-bKsZI,Serius??,serius,-5,negative,0
DfYhY-bKsZI,saya minta untuk sosmed yg di tahan di batalkan cari org jahat nya itu baru betul,saya minta untuk sosmed yg di tahan di batalkan cari org jahat nya itu baru betul,-21,negative,0
DfYhY-bKsZI,Kenapa sih GK boleh kan emak bapak nya yang beliin😢,kenapa sih gk boleh kan emak bapak nya yang beliin,-8,negative,0
DfYhY-bKsZI,Yah jadi nonton cocomelon lagi deh 😭,yah jadi nonton cocomelon lagi deh,-5,negative,0
DfYhY-bKsZI,Apalah kenapaaaaa woiii,apalah kenapaaaaa woiii,-2,negative,0
DfYhY-bKsZI,Mohon maaf pak saya mau izin melanjutkan jika YouTube di blokir atau di batasin anak anak dari umur 5 sampai 15 tahun belajar perkalian gimana? Pantes negara ga pernah maju sedangkan isi ny tikus semua MASA JUDOL GA DI BAN? KALIAN DUKUNG JUDI?JANGAN sampe anak anak ikut JUDOL kalo kami demo jangan salahkan kami! Kalian yang mulai lalu anak anak 13 sampai 15 tahun chat orang tua saat pulang sekolah gimana masa hrs pake guru? Ga mungkin jika aplikasi yang di larang itu di banned kami akan kasih bintang satu semua aplikasi terutama aplikasi komdigi di gital! Siapa yang setuju!!,mohon maaf pak saya mau izin melanjutkan jika youtube di blokir atau di batasin anak anak dari umur 5 sampai 15 tahun belajar perkalian gimana pantes negara ga pernah maju sedangkan isi ny tikus semua masa judol ga di ban kalian dukung judi jangan sampe anak anak ikut judol kalo kami demo jangan salahkan kami kalian yang mulai lalu anak anak 13 sampai 15 tahun chat orang tua saat pulang sekolah gimana masa hrs pake guru ga mungkin jika aplikasi yang di larang itu di banned kami akan kasih bintang satu semua aplikasi terutama aplikasi komdigi di gital siapa yang setuju,-91,negative,0
DfYhY-bKsZI,Sampe batu kajang kah,sampe batu kajang kah,-2,negative,0
DfYhY-bKsZI,Mantap pembasmian bocah iq78 yg semakin meresahkan👍,mantap pembasmian bocah iq78 yg semakin meresahkan,3,positive,1
DfYhY-bKsZI,Woi gak usah caper lu pemerintah 😡😡😡,woi gak usah caper lu pemerintah,5,positive,1
DfYhY-bKsZI,Padahal roblok buat kita kreatif,padahal roblok buat kita kreatif,5,positive,1
DfYhY-bKsZI,Kenapa harus roblok kan itu ff ml itu kan kekerasan juga😢,kenapa harus roblok kan itu ff ml itu kan kekerasan juga,-13,negative,0
DfYhY-bKsZI,Setujuh karena anak anak sudah terobsesi dengan tontonan 🔞,setujuh karena anak anak sudah terobsesi dengan tontonan,-11,negative,0
DfYhY-bKsZI,Hoax hoaxx huuuuuuu😡😡😡😡,hoax hoaxx huuuuuuu,-5,negative,0
DfYhY-bKsZI,anak saya umur 15,anak saya umur 15,-8,negative,0
DfYhY-bKsZI,tetapi bagaimana anak saya belajar,tetapi bagaimana anak saya belajar,-3,negative,0
