video_id,comment
DfYhY-bKsZI,ho
DfYhY-bKsZI,Hoax kah? Akun adekku ga di blokir
DfYhY-bKsZI,Hoax
DfYhY-bKsZI,Serah dah bu
DfYhY-bKsZI,S6 angst mndukung
DfYhY-bKsZI,Kami bohong YouTube tidak bisa tutup 🙏
DfYhY-bKsZI,Anak 16 lya
DfYhY-bKsZI,Aku gk kebaned
DfYhY-bKsZI,bagus gak jadi good job
DfYhY-bKsZI,Gak terjadi apa²😂
DfYhY-bKsZI,Nah begitu tvone hapus saja tegss dong ya salam welas asih 🙏🙏👍👍👍🤝
DfYhY-bKsZI,Kok gk di ban yak ini 28 Maret tapi aku masih bisa nonton YouTube
DfYhY-bKsZI,Kok gk di ban yak ini 28 Maret tapi aku masih bisa nonton YouTube
DfYhY-bKsZI,plis menteri aku mau nya agar bukan medsos di batasi tapi org yg bikin porno grafi
DfYhY-bKsZI,demo demo demo
DfYhY-bKsZI,lebih baik urus korup
DfYhY-bKsZI,😂😂 ikutin Negara besar
DfYhY-bKsZI,Serius??
DfYhY-bKsZI,saya minta untuk sosmed yg di tahan di batalkan cari org jahat nya itu baru betul
DfYhY-bKsZI,Kenapa sih GK boleh kan emak bapak nya yang beliin😢
DfYhY-bKsZI,🫡🫡🫡🫡🫡
DfYhY-bKsZI,Yah jadi nonton cocomelon lagi deh 😭
DfYhY-bKsZI,Apalah kenapaaaaa woiii
DfYhY-bKsZI,Mohon maaf pak saya mau izin melanjutkan jika YouTube di blokir atau di batasin anak anak dari umur 5 sampai 15 tahun belajar perkalian gimana? Pantes negara ga pernah maju sedangkan isi ny tikus semua MASA JUDOL GA DI BAN? KALIAN DUKUNG JUDI?JANGAN sampe anak anak ikut JUDOL kalo kami demo jangan salahkan kami! Kalian yang mulai lalu anak anak 13 sampai 15 tahun chat orang tua saat pulang sekolah gimana masa hrs pake guru? Ga mungkin jika aplikasi yang di larang itu di banned kami akan kasih bintang satu semua aplikasi terutama aplikasi komdigi di gital! Siapa yang setuju!!
DfYhY-bKsZI,😢😢😢😢😢😢😢😢😢😢😢🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙃🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺
DfYhY-bKsZI,Kenapa😭😭😭😭😭
DfYhY-bKsZI,Sampe batu kajang kah
DfYhY-bKsZI,Mantap pembasmian bocah iq78 yg semakin meresahkan👍
DfYhY-bKsZI,😡😡😡😡😡😡😡😡😡😡
DfYhY-bKsZI,Woi gak usah caper lu pemerintah 😡😡😡
DfYhY-bKsZI,Padahal roblok buat kita kreatif
DfYhY-bKsZI,Kenapa harus roblok kan itu ff ml itu kan kekerasan juga😢
DfYhY-bKsZI,dasar mahluk sok bikin aturan
DfYhY-bKsZI,Setujuh karena anak anak sudah terobsesi dengan tontonan 🔞
DfYhY-bKsZI,Hoax hoaxx huuuuuuu😡😡😡😡
DfYhY-bKsZI,🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬
DfYhY-bKsZI,Caca
DfYhY-bKsZI,anak saya umur 15
DfYhY-bKsZI,anak saya umur 15
DfYhY-bKsZI,tetapi bagaimana anak saya belajar
DfYhY-bKsZI,Ah ela gw baru umur 8 thun ini co co😢
DfYhY-bKsZI,Saya tidak terima!!!!!!! Facebook YouTube nggak boleh diblokir harus dijalanin lagi kalau belajar membuat kepala pusing atau stress harus dihentikan pemerintah 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡
DfYhY-bKsZI,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈 huuuuuuuuuuuuuuuu7uuuuu
DfYhY-bKsZI,ANJ😞👈
DfYhY-bKsZI,Serah lah bodoamat akuh
DfYhY-bKsZI,Dadi mengkel isun
DfYhY-bKsZI,"Klo dihapus demo gak sihhh, yg demo kumpul<br>👇"
DfYhY-bKsZI,Bukan nya hapus korup atau judi malah hapus sosmed di bawah 16 bodo
DfYhY-bKsZI,Mantap
DfYhY-bKsZI,Pala kau lah terbaik
DfYhY-bKsZI,Dasar  pemrintah  gatau diri 😡😡😡😡🤬😡😡🤬😡
DfYhY-bKsZI,Ayo hujat habis habisan😡😡😡🤬😡🤬🤬😡😡😡
DfYhY-bKsZI,"Terus gue ulangan pake apa?,gue ulangan pake hp anjg,itu juga disuruh cari jawaban dimedsos!!"
DfYhY-bKsZI,Ngawit lu
DfYhY-bKsZI,iya lah anak anak di urus URUS TUH KORUPTOR YANG ADA DI NEGRI BUKAN NYA BIKIN PERATURAN LAGI LU KALO JADI PEJABAT MENDING BELAJAR LAGI JUDI AJA GAK LU URUS GIMANA NANTI GENERASI MUDA YANG LAIN DAH TAU MAU WW3 JIR
DfYhY-bKsZI,Sampe tanggal berapa nih😭😭😭😭😭
DfYhY-bKsZI,Klo anak di bawah 16 tahun gak bisa nonton   youtube  terus aku belajar bahasa Russia nya gemana
DfYhY-bKsZI,Dasar gatau diri😡😡😡😡🤬🤬😡😡😡🤬😡🤬🤬😡😡🤬
DfYhY-bKsZI,Iya peraturan nya sangat jelek😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬😡🤬🤬😡🤬😡🤬😡🤬🤬🤬🤬😡😡😡😡😡😡🤬🤬😡🤬🤬😡🤬🤬🤬😡🤬🤬😡😡😡😡🤬
DfYhY-bKsZI,Peraturan nya jelek 😡😡😡🤬😡🤬🤬😡🤬😡🤬🤬😡🤬😡
DfYhY-bKsZI,Peraturan nya jelek 😡😡😡🤬😡🤬🤬😡🤬😡🤬🤬😡🤬😡
DfYhY-bKsZI,Dasar lu ya😡
DfYhY-bKsZI,Hah😡
DfYhY-bKsZI,Lu emang mau demo lagi😡
DfYhY-bKsZI,Seharusnya kalau mau anak anak aman Ben atau blokir akun yang berbahaya
DfYhY-bKsZI,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭plissssssssssssssss jangan di hapus
DfYhY-bKsZI,Harus nya di ajarin yg ilegal atau yg bahaya dan yg aman dan GK bahaya bukan seenaknya doang di blockir lu tuh mau GK di berhentiin aja jadi pemerintah seenak nya kita rakyat biasa GK mau kan?
DfYhY-bKsZI,"Kenapa gak memblokir judi, korupsi malah melarang anak di bawah 16 tahun"
DfYhY-bKsZI,Halah gua aja ya nonton biasa kayak penting info ada apa (CONTOH) katanya ada gerhana bulan nah kan kita gak tahu jadi gerhana yang kita tunggu tunggu malah Terlewat <br>Dan kata kata hari ini : kenapa Indonesia tidak maju karena fideo yang penting untuk anak anak seperti gerhana bulan atau matematika tidak bisah tau orang yang mau liat kereta taupun kendaraan lain gitu <br>. Kenapa gak begini urusin judi  dulu nah ke. 2. Video yang tidak pantas untuk di tonton anak anak harus nya di hapus atau di praifet gitu loh 🤬🤬🤬🤬🤬🤬🙏🤬🤬🤬😑😅
DfYhY-bKsZI,Syiballl You tube Facebook 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
DfYhY-bKsZI,"Gak gitu pemerintah,😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🥀🥀🥀🥀🥀🥀🥀🥀🥀"
DfYhY-bKsZI,Hoooo pemerintah jahat hoooo!!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡👎🥀🥀👎🥀🥀
DfYhY-bKsZI,Hoooo pemerintah jahat hoooo!!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡👎🥀🥀👎🥀🥀
DfYhY-bKsZI,🤦🤦🤦🤦
DfYhY-bKsZI,😡😡😡😡😡😡👎
DfYhY-bKsZI,🤦🤦🤦
DfYhY-bKsZI,Pemerintah ban 😡😡😡😡😡👎
DfYhY-bKsZI,Hoooooooooo!!!!!!!! 😡😡😡😡😡😡😡😡😡😡👎👎🥀🥀🥀🥀🥀🥀🥀🥀🥀🥀
DfYhY-bKsZI,😡😡😡😡😡😡😡😡👎🥀
DfYhY-bKsZI,Pemerintah jahat hoooooooooo👎👎👎👎👎👎👎👎👎👎🥀🥀🥀🥀🥀🥀🥀🥀😡😡😡😡😡😡😡
DfYhY-bKsZI,Kan.
DfYhY-bKsZI,Lu kayak kabing jangkrikkk
DfYhY-bKsZI,Jual ibunya😂😂😂😂😂😂
DfYhY-bKsZI,Dasar orang dewasa
DfYhY-bKsZI,Tapi jangan juga di nonaktifkan
DfYhY-bKsZI,"<a href=""https://www.youtube.com/watch?v=DfYhY-bKsZI&amp;t=127"">2:07</a>  IBUNYA DIBAYAR!!!"
DfYhY-bKsZI,Aku diatas umur 7/8 bang
DfYhY-bKsZI,Kami tidak setujuh tidak setuju
DfYhY-bKsZI,SAYA TIDAK TERIMA!!!!!!!!!!!!!
DfYhY-bKsZI,Lebih baik anak anak tidak di boleh membuat konten yg tidak pantas untuk anak di bawah 16 tahun gimana ya hanya menyarankan
DfYhY-bKsZI,Kenapa sekalinya korupsi narkoba  gak cepat bergerak. tapi kalau tentang pembatasan digital pemerintah sok asik
DfYhY-bKsZI,Korupsi no yg di kurangi😂😂
DfYhY-bKsZI,Hampir di Umurku 6
DfYhY-bKsZI,Saya mau nya Roblox saja di off yt di online siapa saja
DfYhY-bKsZI,Gw gk setuju kenapa yutube sama roblox sama tiktok dan sosmed gw gk setuju anj😡wtf gw gk setujuuuuuuuuuuu kenapa harus seperti ini kenapa harus di blokir kita semua punya hal masing masing itu tergantung dewasa nya kenapa ha aku bilang kenapa kamu buka orang penting kesian orang yang di bawah umur16 tahun kalo mau kasih praturan itu mikir napa woi kenapa harus yutube sama tik tok sama roblox woi awas kalo gk baca lu lo bukan orang penting
DfYhY-bKsZI,Trs teman gw yang baru umur 14 THN gimana dia kan ulangan pake hp aneh
DfYhY-bKsZI,Tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian Ama bocah bocah
DfYhY-bKsZI,Nanti sepi sepi
DfYhY-bKsZI,Woi gak setuju tim gak setuju kumpul di sini kita ramaikan
DfYhY-bKsZI,😠😠😠😠😠😠😠😠😠😠😠
NzMXdwZm8B0,😡🎂🎂🎂😡😡😡🎂🎂😡😡😡😡😡🎂🎂🍃
NzMXdwZm8B0,Woi para pemimpin ntar jangan percaya ya soalnya itu semua bohong
NzMXdwZm8B0,TIDAK ROBLOX  DAN YUTUB
NzMXdwZm8B0,Ah elah judol gk di ban? Wah sangat bagus!
NzMXdwZm8B0,Dodol kenapa PO gaboleh supaya tidak stress di rumah ih gimana kita mau nonton apa 🤬🤬🤬🤬🤬
NzMXdwZm8B0,Mana nih Woi wes kelewatan sudah 28 Maret 2026
NzMXdwZm8B0,pemerintah udah  keteraluan
NzMXdwZm8B0,Cok hoax cok
NzMXdwZm8B0,Koruptor giliran judinggak dibasmi
NzMXdwZm8B0,Nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun. Kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup
NzMXdwZm8B0,kapan diterapkan dan bagaimana langkah Hukumnya?
NzMXdwZm8B0,"Mana buktinya katanya tanggal 28 Maret mau ngebatasi umur di aplikasi sosmed tapi aku dah lama nunggu ehh Mana hasilnya gaada pembohong publik😡😡🤬🤬 <a href=""https://www.youtube.com/watch?v=NzMXdwZm8B0&amp;t=96"">1:36</a>"
