video_id,comment,clean_comment,label,label_id
hzDavp3DQo4,Makasih karena masih bisa main,makasih karena masih bisa main,positive,2
dVTaBKZLsds,setuju....,setuju,positive,2
_M85Z0Beq_g,beneran kalo gaada roblox bosen hidup co,beneran kalo gaada roblox bosen hidup co,negative,0
p8p-sAq_hhI,NO ROBLOX NO KORUPSI<br>NO ROBLOX NO JUDI<br>NO ROBLOX NO NGATUR<br>ROBLOX ROBLOX YES<br>KORUPSI KORUPSI NOO<br><br>PEMERINTAH GAK ADA AKHLAK BUKANNYA MENJAUHI HACKER ATAU MENINGKATKAN KE AMANAN TAMBAH DI BLOKIR GAK PUNYA OTAAAAK,no roblox no korupsino roblox no judino roblox no ngaturroblox roblox yeskorupsi korupsi noopemerintah gak ada akhlak bukannya menjauhi hacker atau meningkatkan ke amanan tambah di blokir gak punya otaaaak,negative,0
vk2Ynj24qNA,Akun yutube anak ku hilang. Padahal isinya video2 Salawat. Anakki jadi nangis kerena video salawat dan video klip yg dibuatnya hilang beserta akunnya😢😢😢😢,akun yutube anak ku hilang padahal isinya video2 salawat anakki jadi nangis kerena video salawat dan video klip yg dibuatnya hilang beserta akunnya,negative,0
LFfRhLKHdJA,Terlambat kocak 😂,terlambat kocak,negative,0
tuaZNgn2rcc,tumben bhagia,tumben bhagia,positive,2
OBb8iLYgMu4,Oi pemerinta  demo yok,oi pemerinta demo yok,negative,0
2BdXibzPPyc,Banyak konten rusak,banyak konten rusak,positive,2
hzDavp3DQo4,Yang gak setuju Roblox diblokir ngumpul di sini 😡<br>👇<br>👇,yang gak setuju roblox diblokir ngumpul di sini,negative,0
KFR9jjVi1D4,"Berpendapat walaupun panjang (sbelum rame komennya):<br><br>Meskipun pembatasan media sosial bertujuan untuk melindungi anak, terdapat beberapa kekurangan atau dampak negatif yang mungkin muncul jika anak di bawah umur sama sekali tidak diberikan akses, di antaranya: <br>Kehilangan Akses Informasi Penting: Media sosial sering kali menjadi sumber informasi terkini mengenai kesehatan, isu sosial, hingga edukasi yang mungkin tidak mereka dapatkan dari saluran tradisional.<br>Hambatan dalam Membangun Identitas diri: Bagi remaja, media sosial merupakan ruang untuk mengeksplorasi diri, membangun identitas, dan mengekspresikan kreativitas mereka di era digital.<br>Kesenjangan Keterampilan Digital: Tanpa paparan awal yang terarah, anak mungkin tertinggal dalam memahami cara kerja teknologi komunikasi modern dan etika berinternet (digital literacy) dibandingkan teman sebayanya.<br>Isolasi Sosial: Karena sebagian besar interaksi sosial sebaya saat ini berpindah ke platform digital, anak yang tidak menggunakan medsos berisiko merasa terkucilkan atau kehilangan momen penting dalam lingkaran pertemanan mereka.<br>Potensi Penggunaan &quot;Ilegal&quot;: Larangan yang terlalu ketat tanpa edukasi dapat memicu anak untuk mencari cara lain (seperti memalsukan umur) guna mengakses medsos tanpa pengawasan, yang justru lebih berbahaya.",berpendapat walaupun panjang sbelum rame komennyameskipun pembatasan media sosial bertujuan untuk melindungi anak terdapat beberapa kekurangan atau dampak negatif yang mungkin muncul jika anak di bawah umur sama sekali tidak diberikan akses di antaranya kehilangan akses informasi penting media sosial sering kali menjadi sumber informasi terkini mengenai kesehatan isu sosial hingga edukasi yang mungkin tidak mereka dapatkan dari saluran tradisionalhambatan dalam membangun identitas diri bagi remaja media sosial merupakan ruang untuk mengeksplorasi diri membangun identitas dan mengekspresikan kreativitas mereka di era digitalkesenjangan keterampilan digital tanpa paparan awal yang terarah anak mungkin tertinggal dalam memahami cara kerja teknologi komunikasi modern dan etika berinternet digital literacy dibandingkan teman sebayanyaisolasi sosial karena sebagian besar interaksi sosial sebaya saat ini berpindah ke platform digital anak yang tidak menggunakan medsos berisiko merasa terkucilkan atau kehilangan momen penting dalam lingkaran pertemanan merekapotensi penggunaan ilegal larangan yang terlalu ketat tanpa edukasi dapat memicu anak untuk mencari cara lain seperti memalsukan umur guna mengakses medsos tanpa pengawasan yang justru lebih berbahaya,negative,0
hzDavp3DQo4,Urus dulu tuh orang yg korupsi kok urus sosial media urus urusan negara aja ga bisa urus sosial media aja bisa😡😡,urus dulu tuh orang yg korupsi kok urus sosial media urus urusan negara aja ga bisa urus sosial media aja bisa,negative,0
OBb8iLYgMu4,Siapa yang tidak setuju 👎,siapa yang tidak setuju,negative,0
QDj0g7Xw2rg,Nih aku kasih tau contoh:<br><br>Kita punya anak dan anak kita gk bisa bedain yang mana daging ikan yang mana tulang dan yang mana duri nah kita kan sebagai orang tua harus ngajarin nih yang mana tulang yang mana duri dan juga yang mana daging nah sama aja kayak roblox bukan nya ngelarang roblox untuk beberapa thn kedepan tpi hrs nya di perubah roblox nay kyk kemanan nya kyk jangan ada sus sus san gitu pacar pacaran gitu hrs nya gitu bukan malah ngelarang roblox di gk perboleh kan untuk beberapa thn kedepan emnag cara paling mapuh itu di larang untuk beberapa thn kedepan tpi cara yang lebih ampuh dna baik itu di perkuat keamanan nya jangan ada pacar pacaran sus susbsna hrs nya gitu bukan malah gk di perboleh kan untuk beberapa thn ke depan 😟😟😟😟,nih aku kasih tau contohkita punya anak dan anak kita gk bisa bedain yang mana daging ikan yang mana tulang dan yang mana duri nah kita kan sebagai orang tua harus ngajarin nih yang mana tulang yang mana duri dan juga yang mana daging nah sama aja kayak roblox bukan nya ngelarang roblox untuk beberapa thn kedepan tpi hrs nya di perubah roblox nay kyk kemanan nya kyk jangan ada sus sus san gitu pacar pacaran gitu hrs nya gitu bukan malah ngelarang roblox di gk perboleh kan untuk beberapa thn kedepan emnag cara paling mapuh itu di larang untuk beberapa thn kedepan tpi cara yang lebih ampuh dna baik itu di perkuat keamanan nya jangan ada pacar pacaran sus susbsna hrs nya gitu bukan malah gk di perboleh kan untuk beberapa thn ke depan,negative,0
p8p-sAq_hhI,Fix demo,fix demo,negative,0
KFR9jjVi1D4,Bagus biar kayak di luar negeri akun medsos anak dibatasi👍👍,bagus biar kayak di luar negeri akun medsos anak dibatasi,positive,2
JrCe8CVR1KY,Knp ya padahal buat hiburan di tutup knp gak judi aja yg di tutup,knp ya padahal buat hiburan di tutup knp gak judi aja yg di tutup,negative,0
p8p-sAq_hhI,Heh pemerintah lu itu gak usah deh banyak ngatur koruptor aja dibiarin kita anak-anak nggak kenapa sih kamu itu,heh pemerintah lu itu gak usah deh banyak ngatur koruptor aja dibiarin kita anakanak nggak kenapa sih kamu itu,negative,0
LSrWXE05LNY,Eh geme mobalejen kan bunuh bunuh kenapa roblox kan gunung  dan matematika goblok ke napa jugak youtube gak ada aneh aneh kan goblok😡😡🤬,eh geme mobalejen kan bunuh bunuh kenapa roblox kan gunung dan matematika goblok ke napa jugak youtube gak ada aneh aneh kan goblok,negative,0
TdyE62mSXx0,Gue dukung keputusan,gue dukung keputusan,positive,2
LFfRhLKHdJA,"Tiktok  tutup, gara-gara tiktok rumah tangga banyak yg berantakan , banyak kehilangan akhlak,tiktok kalau gk ditutup berarti pemerintah ingin menghancurkan masyarakatnya sendiri karena udah kehilangan ahlaknya,udah banyak korban perceraian gara-gara tiktok harus tutup total",tiktok tutup garagara tiktok rumah tangga banyak yg berantakan banyak kehilangan akhlaktiktok kalau gk ditutup berarti pemerintah ingin menghancurkan masyarakatnya sendiri karena udah kehilangan ahlaknyaudah banyak korban perceraian garagara tiktok harus tutup total,positive,2
LFfRhLKHdJA,Menurut saya pemerintah perlu membuat sarana dan aturan yang jelas jangan hanya sekedar,menurut saya pemerintah perlu membuat sarana dan aturan yang jelas jangan hanya sekedar,neutral,1
TdyE62mSXx0,Mekanismenya bgmn ?,mekanismenya bgmn,neutral,1
RsKRrIp--Mg,Menurut aku membatas kan aja video negatif di bawah umur 13 tahun kenapa karena untuk membatasi anak yang menonton yang tidak cukup umur nya dan juga tiktok atau pun Instragram dan pembullyan pun sangat tidak boleh dan YouTube berguna nya bisa belajar di layar dan menonton untuk cukup umur itu aja sih kalo aku,menurut aku membatas kan aja video negatif di bawah umur 13 tahun kenapa karena untuk membatasi anak yang menonton yang tidak cukup umur nya dan juga tiktok atau pun instragram dan pembullyan pun sangat tidak boleh dan youtube berguna nya bisa belajar di layar dan menonton untuk cukup umur itu aja sih kalo aku,negative,0
Hy5rx58GES4,Untuk ada gotube,untuk ada gotube,neutral,1
_M85Z0Beq_g,Ngapain aja dong kalo gak ada aplikasi itu kon### gak setuju!!!!!!!!!!!!!,ngapain aja dong kalo gak ada aplikasi itu kon gak setuju,negative,0
LFfRhLKHdJA,Trus KLO anak2 melanggar hukumnya apa,trus klo anak2 melanggar hukumnya apa,neutral,1
JrCe8CVR1KY,&quot;Pindah yukkk ke negara lain&quot;🙁🥀,pindah yukkk ke negara lain,negative,0
iLERE4VmtZc,Bu ujian nya pakai intragam dan daftar sekolah juga,bu ujian nya pakai intragam dan daftar sekolah juga,negative,0
viGBwFO3nDA,"Menurut saya, ini justru bentuk komdigi yang mencari &#39;jalan pintas&#39; untuk masalah yang sebenernya kompleks. Tapi gak kaget sih, mengingat pejabat Indonesia memang suka strategi &#39;low cost, high visibility&#39; daripada memecahkan masalah sistemik. <br><br>Porno, adiksi, distraksi, semua itu sebenernya bisa diminimalisir dengan literasi digital yang bagus. Bagaimana cara agar tidak tergiring opini publik, cara berargumen, cara membedah fakta atau berita palsu, cara berpikir kritis. Semua itu aslinya bisa diintegrasikan ke sistem pendikdikan, tentu dengan pendekatan yang baik pula. Daripada hanya memblokir saat batas umur tertentu, ilmu ilmu ini akan terus &#39;terpasang&#39; sampai bahkan anak itu dewasa. <br><br>Sebaliknya, solusi yang hanya blokar  blokir seperti ini memiliki celah yang cukup signifikan yaitu: <br><br>Anak bisa nekat pakai kartu identitas orang lain, VPN, proxy, atau semacam nya yang malah membuat anak berkeliaran di internet makin jauh dibawah radar pengawasan. Ditambah resiko keamanan data karena unduh aplikasi tidak jelas. <br><br>Selain itu, kehadiran internet juga sangat menguntungkan bagi remaja remaja yang memang bisa menjaga diri dan mengambil sisi positif internet, mereka yang justru dapat pembelajaran yang tidak didapatkan di sekolah dari internet, mereka yang justru dapat menerima berbagai perspektif karena internet, mereka yang justru menjadikan internet lapak untuk mengekspresikan bakat mereka. mengabaikan kasus kasus &#39;spesial&#39; seperti mereka hanya akan menghambat calon calon orang hebat di masa depan. <br><br>Daripada memblokir secara utuh, kenapa pemerintah tidak memaksa platform untuk menurunkan sifat adiktif platform? Seperti mematikan fitur autoplay, mematikan endless scroll, dan memaksa menyisipkan konten edukatif setiap beberapa menit. Dan juga fokus untuk mengintegrasikan literasi digital fundamental kedalam kurikulum? Agar siswa mempunyai filter internal dari pada blokir/sensor yang merupakan filter eksternal <br><br>Singkat nya, langkah komdigi yang &#39;blokar blokir&#39; ini menurut saya terlihat seperti solusi yang terlalu menggeneralisasi masalah yang sebenernya kompleks.",menurut saya ini justru bentuk komdigi yang mencari jalan pintas untuk masalah yang sebenernya kompleks tapi gak kaget sih mengingat pejabat indonesia memang suka strategi low cost high visibility daripada memecahkan masalah sistemik porno adiksi distraksi semua itu sebenernya bisa diminimalisir dengan literasi digital yang bagus bagaimana cara agar tidak tergiring opini publik cara berargumen cara membedah fakta atau berita palsu cara berpikir kritis semua itu aslinya bisa diintegrasikan ke sistem pendikdikan tentu dengan pendekatan yang baik pula daripada hanya memblokir saat batas umur tertentu ilmu ilmu ini akan terus terpasang sampai bahkan anak itu dewasa sebaliknya solusi yang hanya blokar blokir seperti ini memiliki celah yang cukup signifikan yaitu anak bisa nekat pakai kartu identitas orang lain vpn proxy atau semacam nya yang malah membuat anak berkeliaran di internet makin jauh dibawah radar pengawasan ditambah resiko keamanan data karena unduh aplikasi tidak jelas selain itu kehadiran internet juga sangat menguntungkan bagi remaja remaja yang memang bisa menjaga diri dan mengambil sisi positif internet mereka yang justru dapat pembelajaran yang tidak didapatkan di sekolah dari internet mereka yang justru dapat menerima berbagai perspektif karena internet mereka yang justru menjadikan internet lapak untuk mengekspresikan bakat mereka mengabaikan kasus kasus spesial seperti mereka hanya akan menghambat calon calon orang hebat di masa depan daripada memblokir secara utuh kenapa pemerintah tidak memaksa platform untuk menurunkan sifat adiktif platform seperti mematikan fitur autoplay mematikan endless scroll dan memaksa menyisipkan konten edukatif setiap beberapa menit dan juga fokus untuk mengintegrasikan literasi digital fundamental kedalam kurikulum agar siswa mempunyai filter internal dari pada blokirsensor yang merupakan filter eksternal singkat nya langkah komdigi yang blokar blokir ini menurut saya terlihat seperti solusi yang terlalu menggeneralisasi masalah yang sebenernya kompleks,negative,0
xOLutbfafBo,Masalahnya anak² tuh kalo bikin akun tiktok di tua-tuain usianya.,masalahnya anak tuh kalo bikin akun tiktok di tuatuain usianya,neutral,1
